,Date,Artist,TrackName,aSearch,searcher,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,2019-01-05,Mariah Carey,All I Want For Christmas Is You,Mariah Carey,All I Want For Christmas Is You Mariah Carey,4I5Hn34v6foGP3ta9Xx0rN,0.000441,0.695,401680.0,0.652,5.66e-06,11.0,0.0667,-7.828,0.0,0.0751,128.024,4.0,0.744
1,2019-01-12,Ariana Grande,"Thank U, Next",Ariana Grande,"Thank U, Next Ariana Grande",3e9HZxeyfWwjeyPAMmWSSQ,0.229,0.717,207320.0,0.653,0.0,1.0,0.101,-5.634,1.0,0.0658,106.966,4.0,0.412
2,2019-01-19,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone,Sunflower (Spider-Man: Into The Spider-Verse) Post Malone,3KkXRkHbMCARz0aVfEt68P,0.556,0.76,158040.0,0.479,0.0,2.0,0.0703,-5.574,1.0,0.0466,89.911,4.0,0.913
3,2019-01-26,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone,Sunflower (Spider-Man: Into The Spider-Verse) Post Malone,3KkXRkHbMCARz0aVfEt68P,0.556,0.76,158040.0,0.479,0.0,2.0,0.0703,-5.574,1.0,0.0466,89.911,4.0,0.913
4,2019-02-02,Ariana Grande,7 Rings,Ariana Grande,7 Rings Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,0.592,0.778,178627.0,0.317,0.0,1.0,0.0881,-10.732,0.0,0.334,140.048,4.0,0.327
5,2019-02-09,Ariana Grande,7 Rings,Ariana Grande,7 Rings Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,0.592,0.778,178627.0,0.317,0.0,1.0,0.0881,-10.732,0.0,0.334,140.048,4.0,0.327
6,2019-02-16,Ariana Grande,7 Rings,Ariana Grande,7 Rings Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,0.592,0.778,178627.0,0.317,0.0,1.0,0.0881,-10.732,0.0,0.334,140.048,4.0,0.327
7,2019-02-23,Ariana Grande,7 Rings,Ariana Grande,7 Rings Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,0.592,0.778,178627.0,0.317,0.0,1.0,0.0881,-10.732,0.0,0.334,140.048,4.0,0.327
8,2019-03-02,Ariana Grande,7 Rings,Ariana Grande,7 Rings Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,0.592,0.778,178627.0,0.317,0.0,1.0,0.0881,-10.732,0.0,0.334,140.048,4.0,0.327
9,2019-03-09,Lady Gaga & Bradley Cooper,Shallow,Lady Gaga,Shallow Lady Gaga,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
