,Date,Artist,TrackName,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,2019-01-05,Paulo Londra,Adan y Eva,6FyRXC8tJUh863JCkyWqtk,0.323,0.767,258639.0,0.709,0.0,1.0,0.0676,-4.47,1.0,0.336,171.993,4.0,0.72
1,2019-01-12,Pedro Capo X Farruko,Calma,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200.0,0.773,0.0,11.0,0.143,-4.218,0.0,0.0524,126.899,4.0,0.761
2,2019-01-19,Pedro Capo X Farruko,Calma,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200.0,0.773,0.0,11.0,0.143,-4.218,0.0,0.0524,126.899,4.0,0.761
3,2019-01-26,Pedro Capo X Farruko,Calma,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200.0,0.773,0.0,11.0,0.143,-4.218,0.0,0.0524,126.899,4.0,0.761
4,2019-02-02,Pedro Capo X Farruko,Calma,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200.0,0.773,0.0,11.0,0.143,-4.218,0.0,0.0524,126.899,4.0,0.761
5,2019-02-09,Pedro Capo X Farruko,Calma,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200.0,0.773,0.0,11.0,0.143,-4.218,0.0,0.0524,126.899,4.0,0.761
6,2019-02-16,Pedro Capo X Farruko,Calma,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200.0,0.773,0.0,11.0,0.143,-4.218,0.0,0.0524,126.899,4.0,0.761
7,2019-02-23,Pedro Capo X Farruko,Calma,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200.0,0.773,0.0,11.0,0.143,-4.218,0.0,0.0524,126.899,4.0,0.761
8,2019-03-02,Pedro Capo X Farruko,Calma,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200.0,0.773,0.0,11.0,0.143,-4.218,0.0,0.0524,126.899,4.0,0.761
9,2019-03-09,Pedro Capo X Farruko,Calma,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200.0,0.773,0.0,11.0,0.143,-4.218,0.0,0.0524,126.899,4.0,0.761
10,2019-03-16,Pedro Capo X Farruko,Calma,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200.0,0.773,0.0,11.0,0.143,-4.218,0.0,0.0524,126.899,4.0,0.761
11,2019-03-23,Pedro Capo X Farruko,Calma,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200.0,0.773,0.0,11.0,0.143,-4.218,0.0,0.0524,126.899,4.0,0.761
12,2019-03-30,Pedro Capo X Farruko,Calma,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200.0,0.773,0.0,11.0,0.143,-4.218,0.0,0.0524,126.899,4.0,0.761
13,2019-04-06,Daddy Yankee & Katy Perry Featuring Snow,Con Calma,6tlUYa6yABiifYKLFWkvDt,0.11,0.737,193227.0,0.86,1.94e-06,8.0,0.0574,-2.652,0.0,0.0594,93.989,4.0,0.656
14,2019-04-13,Daddy Yankee & Katy Perry Featuring Snow,Con Calma,6tlUYa6yABiifYKLFWkvDt,0.11,0.737,193227.0,0.86,1.94e-06,8.0,0.0574,-2.652,0.0,0.0594,93.989,4.0,0.656
15,2019-04-20,Daddy Yankee & Katy Perry Featuring Snow,Con Calma,6tlUYa6yABiifYKLFWkvDt,0.11,0.737,193227.0,0.86,1.94e-06,8.0,0.0574,-2.652,0.0,0.0594,93.989,4.0,0.656
16,2019-04-27,Daddy Yankee & Katy Perry Featuring Snow,Con Calma,6tlUYa6yABiifYKLFWkvDt,0.11,0.737,193227.0,0.86,1.94e-06,8.0,0.0574,-2.652,0.0,0.0594,93.989,4.0,0.656
17,2019-05-04,Daddy Yankee & Katy Perry Featuring Snow,Con Calma,6tlUYa6yABiifYKLFWkvDt,0.11,0.737,193227.0,0.86,1.94e-06,8.0,0.0574,-2.652,0.0,0.0594,93.989,4.0,0.656
18,2019-05-11,Daddy Yankee & Katy Perry Featuring Snow,Con Calma,6tlUYa6yABiifYKLFWkvDt,0.11,0.737,193227.0,0.86,1.94e-06,8.0,0.0574,-2.652,0.0,0.0594,93.989,4.0,0.656
19,2019-05-18,Daddy Yankee & Katy Perry Featuring Snow,Con Calma,6tlUYa6yABiifYKLFWkvDt,0.11,0.737,193227.0,0.86,1.94e-06,8.0,0.0574,-2.652,0.0,0.0594,93.989,4.0,0.656
20,2019-05-25,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago,4bTZeO72FwMa6wKOiqoynL,0.0711,0.725,287773.0,0.79,1.14e-06,0.0,0.0602,-2.331,1.0,0.197,175.988,4.0,0.763
21,2019-06-01,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago,4bTZeO72FwMa6wKOiqoynL,0.0711,0.725,287773.0,0.79,1.14e-06,0.0,0.0602,-2.331,1.0,0.197,175.988,4.0,0.763
22,2019-06-08,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago,4bTZeO72FwMa6wKOiqoynL,0.0711,0.725,287773.0,0.79,1.14e-06,0.0,0.0602,-2.331,1.0,0.197,175.988,4.0,0.763
23,2019-06-15,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago,4bTZeO72FwMa6wKOiqoynL,0.0711,0.725,287773.0,0.79,1.14e-06,0.0,0.0602,-2.331,1.0,0.197,175.988,4.0,0.763
24,2019-06-22,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago,4bTZeO72FwMa6wKOiqoynL,0.0711,0.725,287773.0,0.79,1.14e-06,0.0,0.0602,-2.331,1.0,0.197,175.988,4.0,0.763
25,2019-06-29,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago,4bTZeO72FwMa6wKOiqoynL,0.0711,0.725,287773.0,0.79,1.14e-06,0.0,0.0602,-2.331,1.0,0.197,175.988,4.0,0.763
