,Date,Artist,TrackName,aSearch,searcher,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,2019-01-05,Capital Bra,Benzema,Capital Bra,Benzema Capital Bra,0gyO8zq1Hw5GTQ33EXcc40,0.543,0.785,159152.0,0.699,0.0,10.0,0.12,-6.691,0.0,0.359,100.908,4.0,0.286
1,2019-01-12,Ava Max,Sweet But Psycho,Ava Max,Sweet But Psycho Ava Max,25sgk305KZfyuqVBQIahim,0.0691,0.719,187436.0,0.704,0.0,1.0,0.166,-4.724,1.0,0.0476,133.002,4.0,0.628
2,2019-01-19,Ava Max,Sweet But Psycho,Ava Max,Sweet But Psycho Ava Max,25sgk305KZfyuqVBQIahim,0.0691,0.719,187436.0,0.704,0.0,1.0,0.166,-4.724,1.0,0.0476,133.002,4.0,0.628
3,2019-01-26,Shindy,DODI,Shindy,DODI Shindy,6yPPTQUNgP9OzIxbzfJtsq,0.00936,0.829,182878.0,0.574,1.64e-05,10.0,0.123,-6.96,0.0,0.0541,146.951,4.0,0.386
4,2019-02-02,MERO,Hobby Hobby,MERO,Hobby Hobby MERO,0dmrz4V5kiezQAqQ3VqGob,0.398,0.743,153560.0,0.742,0.0,5.0,0.136,-6.457,0.0,0.181,163.979,4.0,0.851
5,2019-02-09,Capital Bra,Prinzessa,Capital Bra,Prinzessa Capital Bra,0Tq0EhQpVeQJwV3E3P5Jti,0.513,0.736,178000.0,0.585,2.02e-05,7.0,0.108,-6.769,1.0,0.12,100.609,4.0,0.28
6,2019-02-16,Capital Bra,Prinzessa,Capital Bra,Prinzessa Capital Bra,0Tq0EhQpVeQJwV3E3P5Jti,0.513,0.736,178000.0,0.585,2.02e-05,7.0,0.108,-6.769,1.0,0.12,100.609,4.0,0.28
7,2019-02-23,Eno  MERO,Ferrari,Eno ,Ferrari Eno ,4AgK0CwpwcekXVdAoYB2VO,0.387,0.73,172321.0,0.725,0.0,10.0,0.153,-4.889,0.0,0.318,79.648,4.0,0.625
8,2019-03-02,KC Rebell  Summer Cem & Capital Bra,DNA,KC Rebell,DNA KC Rebell,4BD9yUEFI07WaDJ381DDMq,0.0519,0.828,253346.0,0.686,2.23e-06,2.0,0.11,-5.242,1.0,0.264,156.033,4.0,0.544
9,2019-03-09,Shirin David,Gib Ihm,Shirin David,Gib Ihm Shirin David,1rD0dknJwavElUpZ3AUyiO,0.249,0.928,164293.0,0.414,1.85e-05,10.0,0.0842,-10.624,0.0,0.314,97.986,4.0,0.543
10,2019-03-16,Shirin David,Gib Ihm,Shirin David,Gib Ihm Shirin David,1rD0dknJwavElUpZ3AUyiO,0.249,0.928,164293.0,0.414,1.85e-05,10.0,0.0842,-10.624,0.0,0.314,97.986,4.0,0.543
11,2019-03-23,MERO,Wolke 10,MERO,Wolke 10 MERO,200cTjC6si5Xz9af2QeHi2,0.0662,0.77,172827.0,0.797,3.81e-06,10.0,0.0858,-4.985,0.0,0.0693,100.003,4.0,0.393
12,2019-03-30,Capital Bra Samra,Wir Ticken,Capital Bra,Wir Ticken Capital Bra,1ag6DENIjtcmRFCx5JjUng,0.275,0.633,203067.0,0.691,0.0,7.0,0.17,-4.952,0.0,0.419,180.051,4.0,0.823
13,2019-04-06,Capital Bra,Cherry Lady,Capital Bra,Cherry Lady Capital Bra,4j5WelE5mkf9A2jmts729h,0.877,0.838,135597.0,0.549,0.000964,9.0,0.115,-7.145,0.0,0.0755,114.445,4.0,0.654
14,2019-04-13,Rammstein,Deutschland,Rammstein,Deutschland Rammstein,2bPGTMB5sFfFYQ2YvSmup0,5.54e-05,0.521,322340.0,0.895,0.349,7.0,0.0985,-5.242,1.0,0.0442,120.117,4.0,0.237
15,2019-04-20,Samra,Harami,Samra,Harami Samra,5xIODxqlpUnRVA9ewZUCug,0.236,0.645,182522.0,0.774,0.0,6.0,0.128,-4.839,0.0,0.344,86.692,4.0,0.635
16,2019-04-27,Rammstein,Deutschland,Rammstein,Deutschland Rammstein,2bPGTMB5sFfFYQ2YvSmup0,5.54e-05,0.521,322340.0,0.895,0.349,7.0,0.0985,-5.242,1.0,0.0442,120.117,4.0,0.237
17,2019-05-04,Lil Nas  Billy Ray Cyrus,Old Town Road,Lil Nas,Old Town Road Lil Nas,2YpeDb67231RjR0MgVLzsG,0.0533,0.878,157067.0,0.619,0.0,6.0,0.113,-5.56,1.0,0.102,136.041,4.0,0.639
18,2019-05-11,Lil Nas  Billy Ray Cyrus,Old Town Road,Lil Nas,Old Town Road Lil Nas,2YpeDb67231RjR0MgVLzsG,0.0533,0.878,157067.0,0.619,0.0,6.0,0.113,-5.56,1.0,0.102,136.041,4.0,0.639
19,2019-05-18,Juju  Henning May,Vermissen,Juju ,Vermissen Juju ,07f2b3CTdgKKlhv0mqUksz,0.169,0.717,161882.0,0.668,0.0,9.0,0.0673,-5.003,0.0,0.0554,89.045,4.0,0.464
20,2019-05-25,Juju  Henning May,Vermissen,Juju ,Vermissen Juju ,07f2b3CTdgKKlhv0mqUksz,0.169,0.717,161882.0,0.668,0.0,9.0,0.0673,-5.003,0.0,0.0554,89.045,4.0,0.464
21,2019-06-01,Samra & Capital Bra,Wieder Lila,Samra &,Wieder Lila Samra &,2kkcJ8tSDV42LdWcPjy6We,0.435,0.656,188057.0,0.756,0.0,2.0,0.0934,-4.026,0.0,0.3,168.031,4.0,0.645
22,2019-06-08,Samra & Capital Bra,Wieder Lila,Samra &,Wieder Lila Samra &,2kkcJ8tSDV42LdWcPjy6We,0.435,0.656,188057.0,0.756,0.0,2.0,0.0934,-4.026,0.0,0.3,168.031,4.0,0.645
