,Unnamed: 0,Date,Artist,TrackName,aSearch,searcher,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,0,2019-01-05,Marco Mengoni  Tom Walker,Hola (I Say),Marco Mengoni,Hola (I Say) Marco Mengoni,42LrSpEHmXHfjEH8NeiQQi,0.244,0.5329999999999999,227467.0,0.669,0.0,2.0,0.0965,-4.875,1.0,0.0465,145.721,4.0,0.141
1,1,2019-01-12,Marco Mengoni  Tom Walker,Hola (I Say),Marco Mengoni,Hola (I Say) Marco Mengoni,42LrSpEHmXHfjEH8NeiQQi,0.244,0.5329999999999999,227467.0,0.669,0.0,2.0,0.0965,-4.875,1.0,0.0465,145.721,4.0,0.141
2,2,2019-01-19,Marco Mengoni  Tom Walker,Hola (I Say),Marco Mengoni,Hola (I Say) Marco Mengoni,42LrSpEHmXHfjEH8NeiQQi,0.244,0.5329999999999999,227467.0,0.669,0.0,2.0,0.0965,-4.875,1.0,0.0465,145.721,4.0,0.141
3,3,2019-01-26,Ligabue,Luci d'America,Ligabue,Luci d'America Ligabue,1Y3o2mOVYOUdAezjsWHS7f,0.00899,0.43,209520.0,0.852,0.0,4.0,0.111,-5.445,0.0,0.065,172.16400000000002,4.0,0.402
4,4,2019-02-02,Marco Mengoni  Tom Walker,Hola (I Say),Marco Mengoni,Hola (I Say) Marco Mengoni,42LrSpEHmXHfjEH8NeiQQi,0.244,0.5329999999999999,227467.0,0.669,0.0,2.0,0.0965,-4.875,1.0,0.0465,145.721,4.0,0.141
5,5,2019-02-09,Ava Max,Sweet But Psycho,Ava Max,Sweet But Psycho Ava Max,25sgk305KZfyuqVBQIahim,0.0691,0.7190000000000001,187436.0,0.7040000000000001,0.0,1.0,0.166,-4.724,1.0,0.0476,133.002,4.0,0.628
6,6,2019-02-16,Ultimo,I Tuoi Particolari (Sanremo 2019),Ultimo,I Tuoi Particolari (Sanremo 2019) Ultimo,1TQuPzidr4pmCh3Hh9EMAl,0.7609999999999999,0.55,213240.0,0.41700000000000004,0.0,10.0,0.114,-5.619,1.0,0.0419,137.00799999999998,4.0,0.222
7,7,2019-02-23,Mahmood,Soldi,Mahmood,Soldi Mahmood,59VHmML4j8KW5tQqsjSagL,0.0205,0.7120000000000001,195600.0,0.679,4.54e-06,3.0,0.114,-7.733,0.0,0.0576,94.98200000000001,4.0,0.35700000000000004
8,8,2019-03-02,Mahmood,Soldi,Mahmood,Soldi Mahmood,59VHmML4j8KW5tQqsjSagL,0.0205,0.7120000000000001,195600.0,0.679,4.54e-06,3.0,0.114,-7.733,0.0,0.0576,94.98200000000001,4.0,0.35700000000000004
9,9,2019-03-09,Lady Gaga & Bradley Cooper,Shallow,Lady Gaga,Shallow Lady Gaga,2VxeLyX666F8uXCJ0dZF8B,0.371,0.5720000000000001,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.79899999999999,4.0,0.32299999999999995
10,10,2019-03-16,Lady Gaga & Bradley Cooper,Shallow,Lady Gaga,Shallow Lady Gaga,2VxeLyX666F8uXCJ0dZF8B,0.371,0.5720000000000001,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.79899999999999,4.0,0.32299999999999995
11,11,2019-03-23,Lady Gaga & Bradley Cooper,Shallow,Lady Gaga,Shallow Lady Gaga,2VxeLyX666F8uXCJ0dZF8B,0.371,0.5720000000000001,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.79899999999999,4.0,0.32299999999999995
12,12,2019-03-30,Lady Gaga & Bradley Cooper,Shallow,Lady Gaga,Shallow Lady Gaga,2VxeLyX666F8uXCJ0dZF8B,0.371,0.5720000000000001,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.79899999999999,4.0,0.32299999999999995
