,Date,Artist,TrackName,aSearch,searcher,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,2019-01-05,Ben,180 Degree,Ben,180 Degree Ben,0O5bo4CqoUcXGyRPoeTHSB,0.682,0.535,229187.0,0.513,0.0,1.0,0.0789,-5.079,1.0,0.0319,133.481,4.0,0.173
1,2019-01-12,Ben,180 Degree,Ben,180 Degree Ben,0O5bo4CqoUcXGyRPoeTHSB,0.682,0.535,229187.0,0.513,0.0,1.0,0.0789,-5.079,1.0,0.0319,133.481,4.0,0.173
2,2019-01-19,M.C. The Max,After You've Gone,M.C. The,After You've Gone M.C. The,6MbO4CpHNgsdV4dn2cGKWp,0.656,0.432,246693.0,0.526,0.0,9.0,0.12,-5.371,1.0,0.0336,132.106,4.0,0.212
3,2019-01-26,Chung Ha,Gotta Go,Chung Ha,Gotta Go Chung Ha,0xq4ZTcmwBfkPGo4RRKmMe,0.0741,0.53,221813.0,0.829,0.0,3.0,0.0993,-2.526,0.0,0.0445,101.85,4.0,0.423
4,2019-02-02,SEVENTEEN,Home,SEVENTEEN,Home SEVENTEEN,5TyCTVsBsHeeutZcU2uP5s,0.427,0.741,203732.0,0.547,0.0,9.0,0.0931,-5.029,1.0,0.253,87.977,4.0,0.615
5,2019-02-09,M.C. The Max,After You've Gone,M.C. The,After You've Gone M.C. The,6MbO4CpHNgsdV4dn2cGKWp,0.656,0.432,246693.0,0.526,0.0,9.0,0.12,-5.371,1.0,0.0336,132.106,4.0,0.212
6,2019-02-16,Woody,Fire Up,Woody,Fire Up Woody,66aRjw9DruRf9J40t1Wm9i,0.885,0.619,219060.0,0.444,0.0,6.0,0.201,-7.473,0.0,0.0642,85.822,4.0,0.742
7,2019-02-23,Woody,Fire Up,Woody,Fire Up Woody,66aRjw9DruRf9J40t1Wm9i,0.885,0.619,219060.0,0.444,0.0,6.0,0.201,-7.473,0.0,0.0642,85.822,4.0,0.742
8,2019-03-02,Hwa Sa,Twit,Hwa Sa,Twit Hwa Sa,6qyz1KOlGJsKYJ4ZsRmRSD,0.122,0.679,190786.0,0.813,2.83e-06,5.0,0.263,-3.367,0.0,0.199,136.067,4.0,0.584
9,2019-03-09,Hwa Sa,Twit,Hwa Sa,Twit Hwa Sa,6qyz1KOlGJsKYJ4ZsRmRSD,0.122,0.679,190786.0,0.813,2.83e-06,5.0,0.263,-3.367,0.0,0.199,136.067,4.0,0.584
10,2019-03-16,N.Flying,Rooftop,N.Flying,Rooftop N.Flying,2LwH6T39A5IODRgPv9XitR,0.532,0.692,210652.0,0.9,0.0,0.0,0.235,-2.188,1.0,0.051,96.989,4.0,0.915
11,2019-03-23,Epik High Feat. CRUSH,Lovedrunk,Epik High,Lovedrunk Epik High,2nRm7BbBcpVaInDBCag61K,0.526,0.732,250758.0,0.704,0.0,7.0,0.104,-6.294,1.0,0.132,89.932,4.0,0.493
12,2019-03-30,Epik High Feat. CRUSH,Lovedrunk,Epik High,Lovedrunk Epik High,2nRm7BbBcpVaInDBCag61K,0.526,0.732,250758.0,0.704,0.0,7.0,0.104,-6.294,1.0,0.132,89.932,4.0,0.493
13,2019-04-06,TAEYEON,Four Seasons,TAEYEON,Four Seasons TAEYEON,4ytyLpIwUXbdFsNOvgNnmP,0.0548,0.596,188238.0,0.768,0.0,6.0,0.154,-4.948,1.0,0.145,173.99,4.0,0.673
14,2019-04-13,TAEYEON,Four Seasons,TAEYEON,Four Seasons TAEYEON,4ytyLpIwUXbdFsNOvgNnmP,0.0548,0.596,188238.0,0.768,0.0,6.0,0.154,-4.948,1.0,0.145,173.99,4.0,0.673
15,2019-04-20,BTS  Halsey,Boy With Luv,BTS ,Boy With Luv BTS ,5KawlOMHjWeUjQtnuRs22c,0.0923,0.645,229773.0,0.862,0.0,11.0,0.192,-4.757,0.0,0.0965,119.991,4.0,0.798
16,2019-04-27,BTS  Halsey,Boy With Luv,BTS ,Boy With Luv BTS ,5KawlOMHjWeUjQtnuRs22c,0.0923,0.645,229773.0,0.862,0.0,11.0,0.192,-4.757,0.0,0.0965,119.991,4.0,0.798
17,2019-05-04,BTS  Halsey,Boy With Luv,BTS ,Boy With Luv BTS ,5KawlOMHjWeUjQtnuRs22c,0.0923,0.645,229773.0,0.862,0.0,11.0,0.192,-4.757,0.0,0.0965,119.991,4.0,0.798
18,2019-05-11,BTS  Halsey,Boy With Luv,BTS ,Boy With Luv BTS ,5KawlOMHjWeUjQtnuRs22c,0.0923,0.645,229773.0,0.862,0.0,11.0,0.192,-4.757,0.0,0.0965,119.991,4.0,0.798
19,2019-05-18,BTS  Halsey,Boy With Luv,BTS ,Boy With Luv BTS ,5KawlOMHjWeUjQtnuRs22c,0.0923,0.645,229773.0,0.862,0.0,11.0,0.192,-4.757,0.0,0.0965,119.991,4.0,0.798
20,2019-05-25,BTS  Halsey,Boy With Luv,BTS ,Boy With Luv BTS ,5KawlOMHjWeUjQtnuRs22c,0.0923,0.645,229773.0,0.862,0.0,11.0,0.192,-4.757,0.0,0.0965,119.991,4.0,0.798
21,2019-06-01,BTS  Halsey,Boy With Luv,BTS ,Boy With Luv BTS ,5KawlOMHjWeUjQtnuRs22c,0.0923,0.645,229773.0,0.862,0.0,11.0,0.192,-4.757,0.0,0.0965,119.991,4.0,0.798
22,2019-06-08,Lim Jae Hyun (prod. 2soo),If There Was Practice In Love,Lim Jae,If There Was Practice In Love Lim Jae,3qCL1z9ex9cM26sAYfAHxU,0.585,0.546,255892.0,0.432,1.95e-05,4.0,0.108,-6.787,0.0,0.0299,135.704,4.0,0.168
23,2019-06-15,Lim Jae Hyun (prod. 2soo),If There Was Practice In Love,Lim Jae,If There Was Practice In Love Lim Jae,3qCL1z9ex9cM26sAYfAHxU,0.585,0.546,255892.0,0.432,1.95e-05,4.0,0.108,-6.787,0.0,0.0299,135.704,4.0,0.168
24,2019-06-22,Kim Na Young,To Be Honest,Kim Na,To Be Honest Kim Na,565JHnn5nCgQpXbPDOJvbb,0.699,0.481,200507.0,0.561,0.0,6.0,0.108,-4.207,1.0,0.0459,131.883,4.0,0.289
