,Date,Artist,TrackName,aSearch,searcher,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,2019-01-05,Janet & Daddy Yankee,Made For Now,Janet &,Made For Now Janet &,2Ul7yRZaxGcWCzQg7m632Z,0.00307,0.76,210686.0,0.888,1.49e-05,6.0,0.149,-3.449,1.0,0.124,115.705,4.0,0.559
1,2019-01-12,Janet & Daddy Yankee,Made For Now,Janet &,Made For Now Janet &,2Ul7yRZaxGcWCzQg7m632Z,0.00307,0.76,210686.0,0.888,1.49e-05,6.0,0.149,-3.449,1.0,0.124,115.705,4.0,0.559
2,2019-01-19,Ariana Grande,"Thank U, Next",Ariana Grande,"Thank U, Next Ariana Grande",3e9HZxeyfWwjeyPAMmWSSQ,0.229,0.717,207320.0,0.653,0.0,1.0,0.101,-5.634,1.0,0.0658,106.966,4.0,0.412
3,2019-01-26,Ariana Grande,"Thank U, Next",Ariana Grande,"Thank U, Next Ariana Grande",3e9HZxeyfWwjeyPAMmWSSQ,0.229,0.717,207320.0,0.653,0.0,1.0,0.101,-5.634,1.0,0.0658,106.966,4.0,0.412
4,2019-02-02,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone,Sunflower (Spider-Man: Into The Spider-Verse) Post Malone,3KkXRkHbMCARz0aVfEt68P,0.556,0.76,158040.0,0.479,0.0,2.0,0.0703,-5.574,1.0,0.0466,89.911,4.0,0.913
5,2019-02-09,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone,Sunflower (Spider-Man: Into The Spider-Verse) Post Malone,3KkXRkHbMCARz0aVfEt68P,0.556,0.76,158040.0,0.479,0.0,2.0,0.0703,-5.574,1.0,0.0466,89.911,4.0,0.913
6,2019-02-16,Pedro Capo Farruko,Calma,Pedro Capo,Calma Pedro Capo,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200.0,0.773,0.0,11.0,0.143,-4.218,0.0,0.0524,126.899,4.0,0.761
7,2019-02-23,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone,Sunflower (Spider-Man: Into The Spider-Verse) Post Malone,3KkXRkHbMCARz0aVfEt68P,0.556,0.76,158040.0,0.479,0.0,2.0,0.0703,-5.574,1.0,0.0466,89.911,4.0,0.913
8,2019-03-02,Sam Smith & Normani,Dancing With A Stranger,Sam Smith,Dancing With A Stranger Sam Smith,6Qs4SXO9dwPj5GKvVOv8Ki,0.45,0.741,171030.0,0.52,1.97e-06,8.0,0.222,-7.513,1.0,0.0656,102.998,4.0,0.347
9,2019-03-09,Sam Smith & Normani,Dancing With A Stranger,Sam Smith,Dancing With A Stranger Sam Smith,6Qs4SXO9dwPj5GKvVOv8Ki,0.45,0.741,171030.0,0.52,1.97e-06,8.0,0.222,-7.513,1.0,0.0656,102.998,4.0,0.347
10,2019-03-16,Juanes  Lalo Ebratt,La Plata,Juanes ,La Plata Juanes ,7Eso5mURNFprb5PmhOXDlf,0.201,0.762,195493.0,0.74,0.0,1.0,0.275,-4.72,0.0,0.226,167.881,4.0,0.961
11,2019-03-23,J Balvin,Reggaeton,J Balvin,Reggaeton J Balvin,2D3z17LBMJ2HEHeBFFjTLi,0.0165,0.747,158800.0,0.74,9.94e-05,4.0,0.101,-4.325,0.0,0.191,176.059,4.0,0.552
12,2019-03-30,J Balvin,Reggaeton,J Balvin,Reggaeton J Balvin,2D3z17LBMJ2HEHeBFFjTLi,0.0165,0.747,158800.0,0.74,9.94e-05,4.0,0.101,-4.325,0.0,0.191,176.059,4.0,0.552
13,2019-04-06,Daddy Yankee & Katy Perry  Snow,Con Calma,Daddy Yankee,Con Calma Daddy Yankee,6tlUYa6yABiifYKLFWkvDt,0.11,0.737,193227.0,0.86,1.94e-06,8.0,0.0574,-2.652,0.0,0.0594,93.989,4.0,0.656
14,2019-04-13,Maluma,HP,Maluma,HP Maluma,1LIqNVhaIgxXUt2eVoIQJ3,0.252,0.837,184436.0,0.791,1.14e-06,4.0,0.188,-3.157,0.0,0.0773,91.98,4.0,0.618
15,2019-04-20,Daddy Yankee & Katy Perry  Snow,Con Calma,Daddy Yankee,Con Calma Daddy Yankee,6tlUYa6yABiifYKLFWkvDt,0.11,0.737,193227.0,0.86,1.94e-06,8.0,0.0574,-2.652,0.0,0.0594,93.989,4.0,0.656
16,2019-04-27,BTS  Halsey,Boy With Luv,BTS ,Boy With Luv BTS ,5KawlOMHjWeUjQtnuRs22c,0.0923,0.645,229773.0,0.862,0.0,11.0,0.192,-4.757,0.0,0.0965,119.991,4.0,0.798
17,2019-05-04,Daddy Yankee & Katy Perry  Snow,Con Calma,Daddy Yankee,Con Calma Daddy Yankee,6tlUYa6yABiifYKLFWkvDt,0.11,0.737,193227.0,0.86,1.94e-06,8.0,0.0574,-2.652,0.0,0.0594,93.989,4.0,0.656
18,2019-05-11,Daddy Yankee & Katy Perry  Snow,Con Calma,Daddy Yankee,Con Calma Daddy Yankee,6tlUYa6yABiifYKLFWkvDt,0.11,0.737,193227.0,0.86,1.94e-06,8.0,0.0574,-2.652,0.0,0.0594,93.989,4.0,0.656
19,2019-05-18,BTS  Halsey,Boy With Luv,BTS ,Boy With Luv BTS ,5KawlOMHjWeUjQtnuRs22c,0.0923,0.645,229773.0,0.862,0.0,11.0,0.192,-4.757,0.0,0.0965,119.991,4.0,0.798
20,2019-05-25,Taylor Swift  Brendon Urie,ME!,Taylor Swift,ME! Taylor Swift,2Rk4JlNc2TPmZe2af99d45,0.033,0.61,193000.0,0.83,0.0,0.0,0.118,-4.105,1.0,0.0571,182.162,4.0,0.728
21,2019-06-01,Jesse & Joy And J Balvin,Manana Es Too Late,Jesse &,Manana Es Too Late Jesse &,7ckO8bTkYT5YzwzwnZ6v5a,0.267,0.796,195227.0,0.779,0.0,11.0,0.335,-3.293,0.0,0.0933,92.004,4.0,0.875
22,2019-06-08,Ed Sheeran & Justin Bieber,I Don't Care,Ed Sheeran,I Don't Care Ed Sheeran,3HVWdVOQ0ZA45FuZGSfvns,0.0912,0.798,219947.0,0.675,0.0,6.0,0.0894,-5.041,1.0,0.0442,101.956,4.0,0.842
23,2019-06-15,Ed Sheeran & Justin Bieber,I Don't Care,Ed Sheeran,I Don't Care Ed Sheeran,3HVWdVOQ0ZA45FuZGSfvns,0.0912,0.798,219947.0,0.675,0.0,6.0,0.0894,-5.041,1.0,0.0442,101.956,4.0,0.842
24,2019-06-22,Ed Sheeran & Justin Bieber,I Don't Care,Ed Sheeran,I Don't Care Ed Sheeran,3HVWdVOQ0ZA45FuZGSfvns,0.0912,0.798,219947.0,0.675,0.0,6.0,0.0894,-5.041,1.0,0.0442,101.956,4.0,0.842
25,2019-06-29,"ROSALIA, J. Balvin & El Guincho",Con Altura,"ROSALIA, J.","Con Altura ROSALIA, J.",2qG5sZ7Si6sdK74qLxedYM,0.39,0.882,161627.0,0.689,0.00325,6.0,0.0501,-4.027,1.0,0.124,97.963,4.0,0.746
26,2019-07-06,Maluma,11 PM,Maluma,11 PM Maluma,7KbF6AdprOXEEHlsq11Z6d,0.217,0.777,175733.0,0.712,0.0,10.0,0.091,-4.84,1.0,0.277,95.692,4.0,0.68
