,Date,Artist,TrackName,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,2019-01-05,Lady Gaga & Bradley Cooper,Shallow,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
1,2019-01-12,Lady Gaga & Bradley Cooper,Shallow,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
2,2019-01-19,Lady Gaga & Bradley Cooper,Shallow,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
3,2019-01-26,Lady Gaga & Bradley Cooper,Shallow,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
4,2019-02-02,Ava Max,Sweet But Psycho,25sgk305KZfyuqVBQIahim,0.0691,0.719,187436.0,0.704,0.0,1.0,0.166,-4.724,1.0,0.0476,133.002,4.0,0.628
5,2019-02-09,Lady Gaga & Bradley Cooper,Shallow,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
6,2019-02-16,Lady Gaga & Bradley Cooper,Shallow,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
7,2019-02-23,Lady Gaga & Bradley Cooper,Shallow,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
8,2019-03-02,Lady Gaga & Bradley Cooper,Shallow,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
9,2019-03-09,Lady Gaga & Bradley Cooper,Shallow,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
10,2019-03-16,Lady Gaga & Bradley Cooper,Shallow,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
11,2019-03-23,Lady Gaga & Bradley Cooper,Shallow,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
12,2019-03-30,Lady Gaga & Bradley Cooper,Shallow,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
13,2019-04-06,Lady Gaga & Bradley Cooper,Shallow,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
14,2019-04-13,Rammstein,Deutschland,2bPGTMB5sFfFYQ2YvSmup0,5.54e-05,0.521,322340.0,0.895,0.349,7.0,0.0985,-5.242,1.0,0.0442,120.117,4.0,0.237
15,2019-04-20,Lady Gaga & Bradley Cooper,Shallow,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
16,2019-04-27,Lady Gaga,Always Remember Us This Way,2rbDhOo9Fh61Bbu23T2qCk,0.299,0.553,210200.0,0.502,0.0,0.0,0.764,-5.972,1.0,0.0409,129.976,4.0,0.296
17,2019-05-04,Lady Gaga,Always Remember Us This Way,2rbDhOo9Fh61Bbu23T2qCk,0.299,0.553,210200.0,0.502,0.0,0.0,0.764,-5.972,1.0,0.0409,129.976,4.0,0.296
18,2019-05-11,Loco Escrito,Punto,17Xaa5Iikz9Mhqzkgg4Wy4,0.0741,0.711,227063.0,0.814,0.0,0.0,0.316,-4.398,1.0,0.0615,99.959,4.0,0.58
19,2019-05-18,Lady Gaga,Always Remember Us This Way,2rbDhOo9Fh61Bbu23T2qCk,0.299,0.553,210200.0,0.502,0.0,0.0,0.764,-5.972,1.0,0.0409,129.976,4.0,0.296
20,2019-05-25,Ed Sheeran & Justin Bieber,I Don't Care,3HVWdVOQ0ZA45FuZGSfvns,0.0912,0.798,219947.0,0.675,0.0,6.0,0.0894,-5.041,1.0,0.0442,101.956,4.0,0.842
21,2019-06-01,Luca Hanni,She Got Me,19n68Fcyr7LCfDCKdscjLI,0.0577,0.663,180816.0,0.755,1.01e-05,11.0,0.0796,-5.896,0.0,0.0516,97.045,4.0,0.479
22,2019-06-08,Luca Hanni,She Got Me,19n68Fcyr7LCfDCKdscjLI,0.0577,0.663,180816.0,0.755,1.01e-05,11.0,0.0796,-5.896,0.0,0.0516,97.045,4.0,0.479
23,2019-06-15,Luca Hanni,She Got Me,19n68Fcyr7LCfDCKdscjLI,0.0577,0.663,180816.0,0.755,1.01e-05,11.0,0.0796,-5.896,0.0,0.0516,97.045,4.0,0.479
24,2019-06-22,Luca Hanni,She Got Me,19n68Fcyr7LCfDCKdscjLI,0.0577,0.663,180816.0,0.755,1.01e-05,11.0,0.0796,-5.896,0.0,0.0516,97.045,4.0,0.479
25,2019-06-29,Luca Hanni,She Got Me,19n68Fcyr7LCfDCKdscjLI,0.0577,0.663,180816.0,0.755,1.01e-05,11.0,0.0796,-5.896,0.0,0.0516,97.045,4.0,0.479
