,Date,Artist,TrackName,aSearch,searcher,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,2019-01-05,Lola Indigo & Mala Rodriguez,Mujer Bruja,Lola Indigo,Mujer Bruja Lola Indigo,48W0uYrcEGvD5UNI6KMC5l,0.0946,0.773,203774.0,0.917,0.000106,10.0,0.0885,-2.166,0.0,0.0629,105.964,4.0,0.763
1,2019-01-12,Aitana,Vas A Quedarte,Aitana,Vas A Quedarte Aitana,6Xmbp5rxLA1GS0EfrUgjxc,0.795,0.394,226213.0,0.508,3.87e-06,7.0,0.0627,-3.522,1.0,0.0326,89.222,4.0,0.167
2,2019-01-19,Aitana,Vas A Quedarte,Aitana,Vas A Quedarte Aitana,6Xmbp5rxLA1GS0EfrUgjxc,0.795,0.394,226213.0,0.508,3.87e-06,7.0,0.0627,-3.522,1.0,0.0326,89.222,4.0,0.167
3,2019-01-26,Pablo Alboran,No Vaya A Ser,Pablo Alboran,No Vaya A Ser Pablo Alboran,6ZZOdrcqRZzTCwGlsy00SU,0.232,0.731,198053.0,0.687,2.33e-05,1.0,0.265,-7.399,0.0,0.0586,99.995,4.0,0.577
4,2019-02-02,Ana Guerra & Juan Magan,Ni La Hora,Ana Guerra,Ni La Hora Ana Guerra,02n8UXIHX1T3nLQjLpdJMr,0.235,0.789,198407.0,0.789,0.0,0.0,0.179,-2.738,1.0,0.101,90.055,4.0,0.958
5,2019-02-09,Luis Fonsi & Demi Lovato,Echame La Culpa,Luis Fonsi,Echame La Culpa Luis Fonsi,5E2ejBwR3WGxsIBhpBT6ic,0.0586,0.588,171320.0,0.915,0.0,0.0,0.132,-4.658,1.0,0.0806,192.114,4.0,0.692
6,2019-02-16,Luis Fonsi & Demi Lovato,Echame La Culpa,Luis Fonsi,Echame La Culpa Luis Fonsi,5E2ejBwR3WGxsIBhpBT6ic,0.0586,0.588,171320.0,0.915,0.0,0.0,0.132,-4.658,1.0,0.0806,192.114,4.0,0.692
7,2019-02-23,Maluma Nego do Borel,Corazon,Maluma Nego,Corazon Maluma Nego,5cepAtqnEQ6yVG6088zMMu,0.328,0.722,184720.0,0.738,1.47e-05,9.0,0.198,-6.073,0.0,0.247,198.075,4.0,0.748
8,2019-03-02,Pablo Alboran,No Vaya A Ser,Pablo Alboran,No Vaya A Ser Pablo Alboran,6ZZOdrcqRZzTCwGlsy00SU,0.232,0.731,198053.0,0.687,2.33e-05,1.0,0.265,-7.399,0.0,0.0586,99.995,4.0,0.577
9,2019-03-09,Lady Gaga & Bradley Cooper,Shallow,Lady Gaga,Shallow Lady Gaga,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
10,2019-03-16,Becky G + Natti Natasha,Sin Pijama,Becky G,Sin Pijama Becky G,2ijef6ni2amuunRoKTlgww,0.354,0.791,188560.0,0.745,2.93e-05,11.0,0.104,-3.695,0.0,0.0464,94.014,4.0,0.82
11,2019-03-23,Gene Kelly & MGM Studio Orchestra,Singing In The Rain (Cantando Bajo La Lluvia),Gene Kelly,Singing In The Rain (Cantando Bajo La Lluvia) Gene Kelly,406wKTPKAWllMLOS3YHA57,0.00396,0.375,178173.0,0.627,0.943,5.0,0.255,-3.196,1.0,0.0362,133.975,4.0,0.497
12,2019-03-30,Lady Gaga & Bradley Cooper,Shallow,Lady Gaga,Shallow Lady Gaga,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
13,2019-04-06,Lady Gaga & Bradley Cooper,Shallow,Lady Gaga,Shallow Lady Gaga,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
14,2019-04-13,Pablo Alboran,Prometo,Pablo Alboran,Prometo Pablo Alboran,4Wc0FFBjYDVNJ3Zx3fck6s,0.454,0.4,307107.0,0.564,0.0,9.0,0.314,-8.971,1.0,0.12,91.356,4.0,0.327
15,2019-04-20,Becky G + Natti Natasha,Sin Pijama,Becky G,Sin Pijama Becky G,2ijef6ni2amuunRoKTlgww,0.354,0.791,188560.0,0.745,2.93e-05,11.0,0.104,-3.695,0.0,0.0464,94.014,4.0,0.82
16,2019-04-27,Pablo Alboran,Prometo,Pablo Alboran,Prometo Pablo Alboran,4Wc0FFBjYDVNJ3Zx3fck6s,0.454,0.4,307107.0,0.564,0.0,9.0,0.314,-8.971,1.0,0.12,91.356,4.0,0.327
17,2019-05-04,Pablo Alboran,Prometo,Pablo Alboran,Prometo Pablo Alboran,4Wc0FFBjYDVNJ3Zx3fck6s,0.454,0.4,307107.0,0.564,0.0,9.0,0.314,-8.971,1.0,0.12,91.356,4.0,0.327
18,2019-05-11,The Beatles,All My Loving,The Beatles,All My Loving The Beatles,4joiWvli4qJVEW6qZV2i2J,0.207,0.416,127853.0,0.563,0.0,1.0,0.343,-8.724,0.0,0.0298,77.56,4.0,0.9
19,2019-05-18,Becky G + Natti Natasha,Sin Pijama,Becky G,Sin Pijama Becky G,2ijef6ni2amuunRoKTlgww,0.354,0.791,188560.0,0.745,2.93e-05,11.0,0.104,-3.695,0.0,0.0464,94.014,4.0,0.82
20,2019-05-25,Becky G + Natti Natasha,Sin Pijama,Becky G,Sin Pijama Becky G,2ijef6ni2amuunRoKTlgww,0.354,0.791,188560.0,0.745,2.93e-05,11.0,0.104,-3.695,0.0,0.0464,94.014,4.0,0.82
21,2019-06-01,Luis Fonsi & Demi Lovato,Echame La Culpa,Luis Fonsi,Echame La Culpa Luis Fonsi,5E2ejBwR3WGxsIBhpBT6ic,0.0586,0.588,171320.0,0.915,0.0,0.0,0.132,-4.658,1.0,0.0806,192.114,4.0,0.692
22,2019-06-08,The Beatles,Love Me Do,The Beatles,Love Me Do The Beatles,3VbGCXWRiouAq8VyMYN2MI,0.386,0.52,141693.0,0.829,6.2e-05,0.0,0.227,-6.228,1.0,0.0806,147.997,4.0,0.744
23,2019-06-15,Becky G + Natti Natasha,Sin Pijama,Becky G,Sin Pijama Becky G,2ijef6ni2amuunRoKTlgww,0.354,0.791,188560.0,0.745,2.93e-05,11.0,0.104,-3.695,0.0,0.0464,94.014,4.0,0.82
24,2019-06-22,Becky G + Natti Natasha,Sin Pijama,Becky G,Sin Pijama Becky G,2ijef6ni2amuunRoKTlgww,0.354,0.791,188560.0,0.745,2.93e-05,11.0,0.104,-3.695,0.0,0.0464,94.014,4.0,0.82
25,2019-06-29,Becky G + Natti Natasha,Sin Pijama,Becky G,Sin Pijama Becky G,2ijef6ni2amuunRoKTlgww,0.354,0.791,188560.0,0.745,2.93e-05,11.0,0.104,-3.695,0.0,0.0464,94.014,4.0,0.82
26,2019-07-06,Ed Sheeran & Justin Bieber,I Don't Care,Ed Sheeran,I Don't Care Ed Sheeran,3HVWdVOQ0ZA45FuZGSfvns,0.0912,0.798,219947.0,0.675,0.0,6.0,0.0894,-5.041,1.0,0.0442,101.956,4.0,0.842
27,2019-07-13,Becky G + Natti Natasha,Sin Pijama,Becky G,Sin Pijama Becky G,2ijef6ni2amuunRoKTlgww,0.354,0.791,188560.0,0.745,2.93e-05,11.0,0.104,-3.695,0.0,0.0464,94.014,4.0,0.82
28,2019-07-20,Becky G + Natti Natasha,Sin Pijama,Becky G,Sin Pijama Becky G,2ijef6ni2amuunRoKTlgww,0.354,0.791,188560.0,0.745,2.93e-05,11.0,0.104,-3.695,0.0,0.0464,94.014,4.0,0.82
29,2019-07-27,Aitana,Telefono,Aitana,Telefono Aitana,4GHBUyrcoDwLXlkXfkc8sW,0.0844,0.667,162093.0,0.86,8.64e-05,11.0,0.102,-4.072,0.0,0.109,172.168,4.0,0.579
30,2019-08-03,Becky G + Natti Natasha,Sin Pijama,Becky G,Sin Pijama Becky G,2ijef6ni2amuunRoKTlgww,0.354,0.791,188560.0,0.745,2.93e-05,11.0,0.104,-3.695,0.0,0.0464,94.014,4.0,0.82
