,Date,Artist,TrackName,aSearch,searcher,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,2019-01-05,Kenshi Yonezu,Lemon,Kenshi Yonezu,Lemon Kenshi Yonezu,35KlorpQ6LQVVslvlcu1gN,0.366,0.532,256107.0,0.6609999999999999,0.0,11.0,0.354,-4.9239999999999995,1.0,0.0268,86.98299999999999,4.0,0.446
1,2019-01-12,Kenshi Yonezu,Lemon,Kenshi Yonezu,Lemon Kenshi Yonezu,35KlorpQ6LQVVslvlcu1gN,0.366,0.532,256107.0,0.6609999999999999,0.0,11.0,0.354,-4.9239999999999995,1.0,0.0268,86.98299999999999,4.0,0.446
2,2019-01-19,Kenshi Yonezu,Lemon,Kenshi Yonezu,Lemon Kenshi Yonezu,35KlorpQ6LQVVslvlcu1gN,0.366,0.532,256107.0,0.6609999999999999,0.0,11.0,0.354,-4.9239999999999995,1.0,0.0268,86.98299999999999,4.0,0.446
3,2019-01-26,Kenshi Yonezu,Lemon,Kenshi Yonezu,Lemon Kenshi Yonezu,35KlorpQ6LQVVslvlcu1gN,0.366,0.532,256107.0,0.6609999999999999,0.0,11.0,0.354,-4.9239999999999995,1.0,0.0268,86.98299999999999,4.0,0.446
4,2019-02-02,Kenshi Yonezu,Lemon,Kenshi Yonezu,Lemon Kenshi Yonezu,35KlorpQ6LQVVslvlcu1gN,0.366,0.532,256107.0,0.6609999999999999,0.0,11.0,0.354,-4.9239999999999995,1.0,0.0268,86.98299999999999,4.0,0.446
6,2019-02-16,Kis-My-Ft2,Kimi Wo Daisuki Da,Kis-My-Ft2,Kimi Wo Daisuki Da Kis-My-Ft2,73xPz7mKveI3VF6M9jFT33,0.963,0.45399999999999996,200573.0,0.175,0.000919,2.0,0.142,-11.055,0.0,0.0331,120.991,4.0,0.191
7,2019-02-23,STU48,Kaze Wo Matsu,STU48,Kaze Wo Matsu STU48,1KpPFbgolrmVfhjvWwKiMU,0.276,0.561,298787.0,0.7190000000000001,0.0,2.0,0.214,-3.173,1.0,0.0301,123.984,4.0,0.568
8,2019-03-02,NMB48,Tokonoma Seiza Musume,NMB48,Tokonoma Seiza Musume NMB48,2PNDrMKiQfEuXyDYuuuaNO,0.133,0.527,39001.0,0.9940000000000001,0.0,5.0,0.318,-4.287,1.0,0.0922,148.135,4.0,0.672
9,2019-03-09,Keyakizaka46,Kuroi Hitsuji,Keyakizaka46,Kuroi Hitsuji Keyakizaka46,7sJgtz5Te1pA09ot2UEHWs,0.557,0.508,307600.0,0.943,0.0,4.0,0.5660000000000001,-2.8689999999999998,1.0,0.0872,102.94,4.0,0.39899999999999997
10,2019-03-16,Kanjani 8,Crystal,Kanjani 8,Crystal Kanjani 8,6kx8Hf1Udk4V0Ivq6zpoyG,0.36,0.5670000000000001,115518.0,0.687,0.00293,1.0,0.474,-9.041,0.0,0.125,128.201,4.0,0.396
11,2019-03-23,AKB48,Jiwaru Days,AKB48,Jiwaru Days AKB48,10SyB4jGrBJ5Jqh0pu1FtI,0.62,0.472,290077.0,0.7,0.801,2.0,0.106,-9.364,1.0,0.0268,172.903,4.0,0.472
12,2019-03-30,Matsuri Nine.,Uchouten Shooter,Matsuri Nine.,Uchouten Shooter Matsuri Nine.,29T9UF6OJLMg05Cszw3BNw,0.000474,0.253,226413.0,0.972,0.0,4.0,0.37,-2.305,0.0,0.0857,166.946,4.0,0.349
13,2019-04-06,Hinatazaka 46,Kyun,Hinatazaka 46,Kyun Hinatazaka 46,7oQZR3Bq6HMrTdkqcbCJNf,0.6729999999999999,0.573,300573.0,0.961,0.0,1.0,0.337,-1.1059999999999999,0.0,0.1,128.815,4.0,0.606
14,2019-04-13,King & Prince,Kimi Wo Matteru,King &,Kimi Wo Matteru King &,65v3K1E0rpc3kZEN81MVO0,0.395,0.48100000000000004,256096.0,0.541,0.0,4.0,0.375,-6.191,1.0,0.0291,149.963,4.0,0.27399999999999997
15,2019-04-20,HKT48,Ishi,HKT48,Ishi HKT48,1nBOyWWDwD0Yws9GCoAu6o,0.256,0.27899999999999997,107101.0,0.386,0.595,2.0,0.11800000000000001,-18.658,1.0,0.14,73.18,4.0,0.33299999999999996
16,2019-04-27,Last Idol,Otona Survivor,Last Idol,Otona Survivor Last Idol,12yG7czekWgh7chQgAT7GC,0.419,0.602,266013.0,0.979,0.0,3.0,0.363,-2.709,1.0,0.14,134.985,4.0,0.466
17,2019-05-04,Johnny's WEST,Ame Nochi Hare,Johnny's WEST,Ame Nochi Hare Johnny's WEST,3gbLkvIDHDEhVyI5Qw3vgU,0.321,0.52,294267.0,0.511,0.0008320000000000001,4.0,0.278,-7.972,0.0,0.0313,159.974,4.0,0.375
18,2019-05-11,Aimyon,Marigold,Aimyon,Marigold Aimyon,5NqGfELjcdvRIUuhgZJ34W,0.0452,0.545,306627.0,0.745,0.0,2.0,0.0907,-3.0980000000000003,1.0,0.0286,106.094,4.0,0.413
19,2019-05-18,ONE N' ONLY,Dark Knight,ONE N',Dark Knight ONE N',6ARsNivDAdcyhij8BDAf1J,0.519,0.423,72853.0,0.223,0.9279999999999999,1.0,0.111,-21.180999999999997,1.0,0.0407,118.785,4.0,0.198
20,2019-05-25,Kazuya Kamenashi,Rain,Kazuya Kamenashi,Rain Kazuya Kamenashi,24ySl2hOPGCDcxBxFIqWBu,0.021,0.672,182200.0,0.855,0.0,9.0,0.32299999999999995,-3.764,1.0,0.0397,123.056,4.0,0.6459999999999999
21,2019-06-01,Hey! Say! JUMP,Lucky-Unlucky,Hey! Say!,Lucky-Unlucky Hey! Say!,4l3Cpmjgme60bol6ugyt9M,0.000539,0.604,229507.0,0.868,0.0257,9.0,0.166,-8.381,1.0,0.0431,99.411,4.0,0.428
22,2019-06-08,Nogizaka 46,Sing Out!,Nogizaka 46,Sing Out! Nogizaka 46,2RUT8yZJklRTMV07TmaxIb,0.491,0.521,325560.0,0.821,2.49e-06,11.0,0.326,-4.516,1.0,0.0362,90.00200000000001,4.0,0.706
23,2019-06-15,Kenshi Yonezu,Spirits Of The Sea,Kenshi Yonezu,Spirits Of The Sea Kenshi Yonezu,22iqxJivzlEZffXtca1QFy,0.54,0.374,246182.0,0.42100000000000004,0.0,9.0,0.10099999999999999,-6.877000000000001,1.0,0.0335,89.56700000000001,4.0,0.311
24,2019-06-22,NEWS,Top Gun,NEWS,Top Gun NEWS,4YhJ3a6kBPGJWX4Ek77sDd,0.20600000000000002,0.823,169907.0,0.504,0.0,8.0,0.41700000000000004,-8.65,0.0,0.16,112.985,4.0,0.48100000000000004
25,2019-06-29,Tomohisa Yamashita,Change,Tomohisa Yamashita,Change Tomohisa Yamashita,7AFASza1mXqntmGtbxXprO,0.883,0.669,121887.0,0.308,0.0,11.0,0.0984,-10.068,1.0,0.028999999999999998,64.934,4.0,0.52
26,2019-07-06,IZ*ONE,Buenos Aires,IZ*ONE,Buenos Aires IZ*ONE,59OVM3kQEOwKpTXgrQox1N,0.381,0.6970000000000001,261787.0,0.833,0.0,0.0,0.349,-3.03,0.0,0.0314,104.99799999999999,4.0,0.9359999999999999
27,2019-07-13,BTS,Lights,BTS,Lights BTS,3TDUktzfYXMWjkWqwoT5F1,0.156,0.608,292853.0,0.644,0.0,5.0,0.124,-5.587999999999999,1.0,0.0314,99.005,4.0,0.431
28,2019-07-20,Kis-My-Ft2,Hands Up,Kis-My-Ft2,Hands Up Kis-My-Ft2,2lrvQCsMALjGeuyUkuzIxA,0.000491,0.644,199267.0,0.623,5.07e-05,2.0,0.359,-4.933,1.0,0.0336,133.887,4.0,0.11
